7,17
110,243
10,34
36,118
23,59
32,79
105,319
20,56
7,76
30,116
5,7
22,66
128,264
9,9
32,136
17,53
28,43
40,169
5,19
104,264
20,56
41,210
9,18
25,164
34,68
49,120
10,23
70,331
87,279
49,223
25,62
56,228
61,150
50,113
93,268
14,78
19,126
59,146
29,75
19,43
9,30
101,302
16,96
34,212
18,36
117,442
41,264
6,24
163,393
92,224
37,63
7,28
44,149
14,41
34,139
7,20
23,26
104,227
45,49
22,84
97,187
27,23
24,28
63,152
74,166
40,81
26,51
94,164
34,92
34,64
83,223
45,112
53,95
29,61
11,33
94,193
43,37
67,89
22,24
103,205
27,40
23,23
30,33
48,58
25,44
32,53
29,64
79,168
72,223
43,186
3,49
21,26
39,180
42,49
67,188
85,145
44,128
92,290
58,256
41,145
18,47
69,169
50,83
92,265
74,135
42,166
61,60
58,184
45,120
48,126
71,62
98,157
12,160
40,184
43,50
60,198
2,42
74,175
72,254
109,357
25,76
86,209
127,276
26,17
120,286
25,50
93,270
61,253
52,142
59,167
76,163
100,253
38,10
11,19
35,124
29,72
60,205
2,37
10,29
16,82
89,164
20,14
86,262
20,169
37,62
59,79
50,109
95,254
46,109
68,255
100,285
30,11
22,4
95,270
22,50
73,193
87,316
82,206
62,123
39,57
59,162
15,33
41,120
80,163
8,87
48,156
45,76
37,145
63,172
71,284
82,287
61,232
97,224
45,185
73,280
69,265
