5,33
11,16
7,37
2,5
7,62
9,25
7,8
8,23
11,31
23,47
45,154
5,12
19,115
4,61
5,44
14,88
0,17
18,35
9,44
1,10
17,37
16,45
25,69
6,25
3,56
9,33
2,36
20,35
9,23
17,22
41,160
2,26
24,82
5,18
12,78
0,1
16,89
14,35
12,36
6,25
10,22
9,18
11,28
3,4
19,46
0,6
22,66
5,13
17,41
49,104
10,46
4,10
15,19
21,57
14,53
26,75
30,90
16,56
29,86
6,31
6,37
5,48
8,51
22,94
3,4
17,40
1,24
16,26
15,34
1,15
6,45
7,72
23,46
19,65
11,28
13,57
14,22
16,66
30,87
11,42
20,49
6,14
38,132
19,55
7,30
15,74
35,91
15,61
24,87
46,118
28,87
33,100
21,87
16,68
9,31
11,44
39,124
16,54
16,54
19,52
32,94
2,24
17,34
28,43
14,79
17,33
