110,243,0
110,243,0
19,47,0
2,11,1
11,20,1
16,15,0
12,23,0
18,54,1
52,135,0
26,65,1
41,100,1
53,72,0
45,135,1
27,87,1
55,118,0
52,148,1
43,102,0
35,87,1
22,33,1
40,102,0
38,164,0
39,86,1
32,107,1
37,91,1
7,25,0
25,45,1
74,105,0
37,158,0
20,32,1
8,25,1
28,60,0
24,82,0
16,52,1
39,48,1
5,29,0
48,98,0
32,144,1
27,94,1
49,143,1
25,40,1
39,75,0
43,105,0
10,45,1
71,178,1
41,88,1
59,235,1
56,73,1
39,108,1
82,139,1
37,104,1
76,86,1
84,126,1
21,32,1
36,79,1
14,13,1
52,75,1
