110,243
110,243
19,47
2,11
11,20
16,15
12,23
18,54
52,135
26,65
41,100
53,72
45,135
27,87
55,118
52,148
43,102
35,87
22,33
40,102
38,164
39,86
32,107
37,91
7,25
25,45
74,105
37,158
20,32
8,25
28,60
24,82
16,52
39,48
5,29
48,98
32,144
27,94
49,143
25,40
39,75
43,105
10,45
71,178
41,88
59,235
56,73
39,108
82,139
37,104
76,86
84,126
21,32
36,79
14,13
52,75
44,98
42,105
47,105
44,126
39,80
58,160
10,60
61,117
5,72
60,146
10,12
37,91
37,80
49,92
54,97
79,147
43,139
25,60
21,83
41,123
26,24
22,59
15,68
74,159
51,96
31,13
22,86
29,109
49,129
49,126
27,71
63,51
21,76
7,63
10,37
54,91
60,147
54,74
31,87
75,178
71,176
5,41
56,211
19,95
55,109
44,131
35,49
33,135
9,28
23,94
45,110
14,15
17,40
21,93
70,167
28,41
