1,424,94,193
1,357,101,302
1,353,93,244
1,346,117,442
1,313,52,235
1,277,87,264
1,269,92,224
1,246,104,227
1,233,37,63
1,228,93,268
1,207,39,108
1,196,37,91
1,195,74,166
1,193,21,32
1,189,82,139
1,187,50,113
1,183,37,58
1,173,97,187
1,159,56,228
1,146,34,139
1,133,64,175
1,129,61,150
1,125,59,146
1,121,37,104
1,119,63,152
1,118,49,143
1,110,59,235
1,104,19,43
1,104,41,160
1,95,163,393
1,89,103,205
1,88,34,212
1,85,76,86
1,82,33,182
1,79,8,58
1,79,84,126
1,76,16,96
1,71,44,149
1,69,41,264
1,62,32,144
1,60,49,104
1,48,25,40
1,44,20,32
1,37,45,154
1,37,27,94
1,37,17,22
1,35,8,25
1,30,16,52
1,24,12,78
1,20,25,45
1,16,83,223
1,3,40,81
1,0,2,11
1,0,11,20
1,0,10,34
1,0,18,54
1,0,36,118
1,0,23,59
1,0,26,65
1,0,41,100
1,0,105,319
1,0,45,135
1,0,20,56
1,0,27,87
1,0,7,76
1,0,52,148
1,0,30,116
1,0,35,87
1,0,22,66
1,0,128,264
1,0,22,33
1,0,32,136
1,0,30,81
1,0,28,43
1,0,40,169
1,0,83,362
1,0,104,264
1,0,39,86
1,0,41,210
1,0,21,44
1,0,25,164
1,0,32,107
1,0,34,68
1,0,49,120
1,0,87,279
1,0,8,23
1,0,49,223
1,0,25,62
1,0,19,126
1,0,0,17
1,0,1,10
1,0,39,48
1,0,6,25
1,0,3,56
1,0,9,33
1,0,2,36
1,0,2,26
1,0,0,1
1,0,12,36
1,0,94,164
1,0,34,92
1,0,10,45
1,0,45,112
1,0,71,178
1,0,53,95
1,0,41,88
1,0,6,25
1,0,9,18
1,0,56,73
1,0,69,229
1,0,22,66
1,0,79,168
1,0,69,203
1,0,36,79
1,0,14,13
1,0,219,219
1,0,52,75
1,0,112,102
