7,17,0
110,243,0
10,34,1
36,118,1
23,59,1
32,79,0
105,319,1
20,56,1
7,76,1
30,116,1
5,7,0
22,66,1
128,264,1
9,9,0
32,136,1
17,53,0
28,43,1
40,169,1
5,19,0
104,264,1
20,56,0
41,210,1
9,18,0
25,164,1
34,68,1
49,120,1
10,23,0
70,331,0
87,279,1
49,223,1
25,62,1
56,228,1
61,150,1
50,113,1
93,268,1
14,78,0
19,126,1
59,146,1
29,75,0
19,43,1
9,30,0
101,302,1
16,96,1
34,212,1
18,36,0
117,442,1
41,264,1
6,24,0
163,393,1
92,224,1
37,63,1
7,28,0
44,149,1
14,41,0
34,139,1
7,20,0
23,26,0
104,227,1
45,49,0
22,84,0
97,187,1
27,23,0
24,28,0
63,152,1
74,166,1
40,81,1
26,51,0
94,164,1
34,92,1
34,64,0
83,223,1
45,112,1
53,95,1
29,61,0
11,33,0
94,193,1
43,37,0
67,89,0
22,24,0
103,205,1
27,40,0
23,23,0
30,33,0
48,58,0
25,44,0
32,53,0
29,64,0
79,168,1
