Swan Laak / Dilettante / DJ Eade : Obtuse Nov.,1,104,electronic,19,43
"Droops Showcase feat. Paul Cherry, Bedforms, Joey Joey Michaels",1,196,rock,37,91
DJ Shawshank : Pint Night Spins,0,0,electronic,9,30
Sunday Swap Meet!,0,0,other,14,88
Spellbound DJ Dance Night - Halloween Edition,1,357,electronic,101,302
Sean Imboden Trio,1,0,other,0,17
False Ragu III,0,0,other,18,35
Rock E Bassoon : Brunch Extravaganza,0,0,rock,7,25
Naptown Soul Club : October Edition,1,76,electronic,16,96
The Bridge : Nashville,1,20,rock,25,45
Sweet Poison Victim // DJ Kyle Long // Knot Brothers,1,88,electronic,34,212
"Obtuse Feat. Machine Girl, Five Star Hotel, and Lyrbird",0,19,electronic,18,36
I Barking Love Dogs : Comedy Benefit show for The Humane Society,0,0,other,9,44
Spellbound Dark Alternative DJ Night: September 2017 Edition,1,346,electronic,117,442
F L A C O / Fat Tony / Drayco McCoy,0,108,hiphop,86,155
Mild High Club at Pioneer,0,132,rock,74,105
Naptown Soul Club,1,69,electronic,41,264
Charlie Ballantine Trio,1,0,other,1,10
"Gaelynn Lea, w/ Bigfoot Yancey, Achilles Tenderloin",0,47,rock,37,158
Pint Night Spins : d. strange,0,0,electronic,6,24
Volunteer Department / Karen Meat / Process My Office / Dana T,1,44,rock,20,32
"The Skatalites, Sweet Poison Victim, Louie Louie & DJ Kyle Long",1,95,electronic,163,393
Xerox Candy Bar : A Butler MFA Reading,0,0,other,17,37
Jake Simmons & the Little Ghosts The Fever Haze The Soft Sounds,1,35,rock,8,25
Tiny Terrible Things Revue,0,39,rock,28,60
Sleeping Bag // Sad Baxter // Peter & the Kings,0,40,rock,24,82
Spellbound Darkwave DJ Dance Night at Pioneer: Aug/Sept Edition,1,269,electronic,92,224
Obtuse : First Friday edition,1,233,electronic,37,63
DJ Shaw Shank : Pint Night Spins,0,0,electronic,7,28
Quiet Hollers // Joshua Powell // Charlie Ballantine Prov. Band,1,30,rock,16,52
JohnSongs & Funkhouser Present : Amplified › Day 2,0,12,other,16,45
JohnSongs & Funkhouser Present : Amplified › Day 1,0,0,other,25,69
Chives // Dope Sweater // Uppers,1,0,rock,39,48
Friday Gen Con Indianapolis Afterparty Dance RAVE Against the MA,1,71,electronic,44,149
Chase Blackburn Trio,1,0,other,6,25
Obtuse :: Talisman // Duchess b2b dilettante,0,65,electronic,14,41
Midweek Mashup : Pioneer Presents Hood Smoke,0,0,rock,5,29
Sweet Poison Victim // DJ Kyle Long // DAM!,1,146,electronic,34,139
Carrington Clinton Trio,1,0,other,3,56
Kevin Krauter // Crescent Ulmer // Hales Corner,0,55,rock,48,98
Duchess // GNZ : Pint Night Spins,0,0,electronic,7,20
Cosgrove : lounge night,1,0,other,9,33
New Wave Collective Evan Grey Old Joy Dose Pariah Peels,1,183,hiphop,37,58
Obtuse :: Mechanics // FilterNetwork,0,48,electronic,23,26
Clint Breeze & the Groove / the iLLPHONiCs,0,66,hiphop,51,112
Spellbound Darkwave DJ night at Pioneer: July 2017 Edition,1,246,electronic,104,227
Charlie Ballantine (solo),1,0,other,2,36
"Obtuse :: v1984, Shirtless, and Noelsferatu",0,22,electronic,45,49
Louie Louie // ByBye // Wife Patrol,1,62,rock,32,144
Midweek Mashup : Pioneer Presents Silly Safaris Live Animal Show,0,0,other,20,35
Vess Ruhtenberg // The Icks // Miracle Sweepstakes,1,37,rock,27,94
Obtuse :: Levante // duchess // dilettante,0,58,,43,39
False Ragu : *Ladies Night*,0,0,other,9,23
"The Division Men w/ Shady Mayor, The Unrefined",1,37,other,17,22
First Friday at Pioneer : Art Exhibition w/ Big Robot & more,1,104,other,41,160
"John Stamps Tour Kick Off w/ Raw Image, Heyzeus, Kiddo, + more",0,140,hiphop,83,100
Clint Breeze & the Groove // DAM! // DJ Kyle Long,1,133,hiphop,64,175
Jim Loughery : Jazz Pianist,1,0,other,2,26
DJ Littletown : Pint Night Spins,0,0,electronic,22,84
I Barking Love Dogs : Comedy Benefit Show for the Humane Society,0,0,other,24,82
Spellbound Darkwave DJ night at Pioneer: June 2017 Edition,1,173,electronic,97,187
Obtuse :: Talissman // D-strange,0,110,electronic,27,23
Midweek Mashup! Pioneer Presents the Charlie Ballantine Trio,0,0,other,5,18
Wax Fang // Sweet Poison Victim // Frederick the Younger,1,118,rock,49,143
Premium Blend Album Release w/ Bashiri Asad After Party,1,24,other,12,78
Obtuse :: GNZ // DJ Modest,0,54,electronic,24,28
Adam Yeager and John Fell : Duo Gypsy Guitars,1,0,other,0,1
Mr Mitch // Oreo Jones // duchess & dilettante,1,119,electronic,63,152
Rob Funkhouser // Forward Motion // Jim Loughery,0,0,other,16,89
Spellbound Darkwave DJ night at Pioneer - May 2017 Edition,1,195,electronic,74,166
False Ragu : a meat based comedy hour,0,0,other,14,35
Louie Louie // Laurel & the Love-In // GNZ,1,48,rock,25,40
Chase Blackburn Trio w/ Kyra Waltz,1,0,other,12,36
PARTS // Duncan Kissinger Band // Elwood,0,19,rock,39,75
Holy Wave // L.A. Witch // Mk-II (DJ set),0,54,rock,43,105
Cluster : An Evening of Individual Sound,1,3,electronic,40,81
Obtuse :: FilterNetwork // Levante,0,83,electronic,26,51
Spellbound darkwave + goth DJ dance night - April Edition!,1,0,electronic,94,164
Slight Work w/ K Nags & Trilli,1,0,electronic,34,92
J. Elliott at Pioneer,1,0,rock,10,45
Obtuse : duchess / dilettante / wsg hakk.haus,0,0,electronic,34,64
Sweet Poison Victim // DJ Kyle Long // The Icks,1,16,electronic,83,223
Hanna Benn & Jordan Munson // Sedcairn Archives,1,0,electronic,45,112
Bonesetters // Service // Uh,1,0,rock,71,178
FF : Ray Creature // VV Torso // Mk II // DJ Deep Sense OS,1,0,electronic,53,95
Obtuse :: DJ Shaw Shank // David Peck,0,0,electronic,29,61
Chives // Hales Corner // Major Murphy,1,0,rock,41,88
DJ Dicky Foxxx :: Dance Night,0,8,electronic,11,33
Spellbound darkwave + goth DJ dance night - March Edition!,1,424,electronic,94,193
The Tucker Brothers,1,0,other,6,25
Obtuse :: FilterNetwork // DJ Littletown,0,49,electronic,43,37
Comedy Night : Tim Northern // Dan Alten // Elise Whitaker,0,0,other,10,22
Clint Breeze and the Groove // Louie Louie // wsg DJ Little Town,1,353,hiphop,93,244
"The Rehersal with George Benn, Kenny Simms & Jonathan Wood",1,0,other,9,18
Pioneer Showcase: v1984 // John Stamps // duchess b2b dilettante,0,79,electronic,67,89
First Friday : Girls Rock! Indianapolis Fundraiser at Pioneer,1,110,rock,59,235
Obtuse :: DJ Shawshank / DJ Modest,0,48,electronic,22,24
Comedy at Pioneer : Andrew Frank / Willie Bostic / Mariah Anglin,0,0,other,11,28
Spellbound: Darkwave DJ dance night at Pioneer,1,89,electronic,103,205
Obtuse :: FilterNetwork,0,0,electronic,27,40
Antenna Man Elaine Jr Album Release,1,0,rock,56,73
Obtuse :: Duchess // dilettante,0,0,electronic,23,23
Comedy Night : Emily Galati // Carson Tumey // Rachel Goldman,0,0,other,3,4
Obtuse :: The Dank Dungeon with Sedcairn Archives,0,0,electronic,30,33
First Friday at Pioneer : the Twin Cats // David Peck,1,207,rock,39,108
Obtuse :: DJ Shawshank // DJ Littletown,0,81,electronic,48,58
Pravada // Bedforms // Louie Louie,1,189,rock,82,139
Obtuse :: Mike Graves // Reggae/Dub Night,0,16,electronic,25,44
SM Wolf // Caleb McCoach // Nouveaurees,1,121,rock,37,104
Obtuse :: Duchess // dilettante // FilterNetwork // Process My Office,0,0,electronic,32,53
Comedy at Pioneer : Stewart Huff // Jordan Dybas // Katlin McFee,0,29,other,19,46
Andy D // Sirius Blvck // John Stamps,1,0,hiphop,69,229
Jazz Night at Pioneer // Featuring The SleepyNap Project,0,0,other,0,6
Charlie Ballantine Providence Band / Rob Dixon Triology,1,0,other,22,66
Jazz & Funk Jam Night at Pioneer,0,0,other,5,13
Comedy Night : Dave Waite / Andrew Rudick / Nate Gropp / WSGs,0,22,other,17,41
Obtuse :: Duchess // dilettante / modest // FilterNetwork,0,0,electronic,29,64
Busman's Holiday: A Holiday themed Album Release Show in Indy!,1,85,rock,76,86
Spellbound: a new DJ dance night feat Lol Tolhurst of The Cure,1,0,electronic,79,168
Lol Tolhurst (co-founder of The Cure) book tour event at ICD&V!,1,60,other,49,104
Cloak and Dagger: New Work from Benny Sanders,1,79,rock,84,126
Comedy Night : DJ Dangler // Nate Gropp // WSGs,0,0,other,10,46
Fell Runner / Spissy \ Jackson VanHorn,1,193,rock,21,32
Clint Breeze and the Groove wsg Hood Smoke,1,0,hiphop,69,203
HOMME / VV lightbody / VV Torso,1,0,rock,36,79
Ayinger Beer Dinner,0,0,other,4,10
Carey w/ Digital Dots and Sex Champ,1,0,rock,14,13
"Oreo Jones' Cash For Gold"" Release Show""",1,0,hiphop,219,219
"Peter and The Kings, Dirt Bike, and Burger Night at Pioneer",1,0,rock,52,75
"Oreo Jones, Phases, and Sirius Blvck live at Pioneer!!!",1,0,hiphop,112,102
Italian and Slovenian wine tasting with Bryan Hinschberger from Bon Vivant Imports!,0,0,other,15,19
sum,,10232,,10193,27085
,118,,,,
,99,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,total count,percentage of total,Mean (Attending)
,,,14,7.04%,116.2
,,,88,41.31%,43.47727273
,,,53,24.41%,11.96226415
,,,56,27.23%,64.94827586
,,,5,2.26%,45
