227,No,electronic,14,41,65,1
318,No,hiphop,105,137,127,1
311,No,other,10,46,29,1
406,No,rock,37,71,23,0
416,No,other,14,4,57,1
413,No,rock,13,34,31,0
380,No,electronic,18,93,34,0
258,No,rock,55,118,58,1
30,Yes,electronic,163,393,95,0
57,Yes,electronic,20,56,43,0
87,Yes,electronic,122,444,266,1
401,No,other,4,66,63,1
178,Yes,hiphop,83,362,266,1
277,No,other,23,47,43,0
42,Yes,rock,25,40,48,1
35,Yes,hiphop,8,58,79,1
366,No,rock,51,66,41,0
135,Yes,rock,26,65,149,1
149,Yes,rock,36,79,144,1
84,Yes,electronic,130,260,276,1
208,Yes,other,20,116,135,1
63,Yes,electronic,28,43,57,1
243,No,rock,39,75,19,0
320,No,electronic,8,58,50,1
361,No,other,12,3,57,1
421,No,electronic,35,117,58,1
41,Yes,other,49,104,60,1
134,Yes,rock,18,54,71,1
337,No,other,17,82,34,0
58,Yes,electronic,7,76,60,1
263,No,hiphop,18,24,50,1
101,Yes,electronic,68,111,109,1
136,Yes,rock,41,100,129,1
292,No,other,20,35,32,0
274,No,electronic,10,23,23,0
119,Yes,electronic,60,224,194,1
143,Yes,rock,32,107,122,1
28,Yes,electronic,19,43,104,1
429,No,electronic,23,63,84,1
370,No,other,16,53,57,1
360,No,electronic,32,45,52,1
169,Yes,rock,45,151,75,1
4,Yes,electronic,117,442,346,1
332,No,other,14,42,33,0
54,Yes,electronic,36,118,172,1
395,No,other,21,47,19,0
307,No,electronic,32,53,46,1
352,No,rock,38,91,43,0
342,No,rock,25,71,30,0
426,No,electronic,27,71,30,0
82,Yes,electronic,50,145,105,1
247,No,electronic,29,75,11,0
47,Yes,rock,8,25,35,1
281,No,electronic,9,30,31,0
39,Yes,electronic,41,264,69,0
26,Yes,rock,49,143,118,1
418,No,rock,38,106,58,0
144,Yes,rock,39,48,145,1
66,Yes,electronic,41,210,187,1
297,No,other,16,89,34,0
234,No,electronic,23,26,48,1
417,No,rock,15,81,34,0
239,No,other,19,46,29,0
141,Yes,rock,22,33,95,1
384,No,electronic,36,52,48,0
284,No,rock,7,25,23,0
