92,Yes,electronic,59,138,124,1
372,No,other,17,78,34,0
278,No,other,5,12,23,1
61,Yes,electronic,128,264,286,1
368,No,other,20,14,69,1
252,No,rock,12,23,23,0
381,No,other,8,33,31,1
107,Yes,electronic,72,197,243,1
137,Yes,rock,45,135,112,1
231,No,rock,43,105,54,0
192,Yes,hiphop,150,356,266,1
158,Yes,rock,20,102,78,1
358,No,hiphop,97,132,127,0
25,Yes,electronic,63,152,119,1
269,No,other,9,25,23,0
330,No,other,8,35,27,0
179,Yes,hiphop,21,44,57,1
139,Yes,rock,52,148,105,1
156,Yes,rock,43,26,95,1
427,No,electronic,21,78,34,0
165,Yes,rock,81,176,167,1
336,No,electronic,32,80,23,0
323,No,other,11,34,31,0
204,Yes,other,6,25,39,1
335,No,other,10,38,32,1
118,Yes,electronic,98,254,286,1
363,No,other,9,51,29,1
305,No,other,3,4,36,1
155,Yes,rock,56,198,101,0
21,Yes,hiphop,64,175,133,1
166,Yes,rock,104,202,229,1
253,No,other,5,33,27,1
170,Yes,rock,73,153,148,1
6,Yes,hiphop,87,264,277,1
29,Yes,other,41,160,104,1
121,Yes,electronic,65,182,149,1
378,No,other,18,60,84,1
218,No,electronic,27,23,110,1
89,Yes,electronic,84,274,286,1
432,No,electronic,13,23,23,0
46,Yes,other,17,22,37,0
45,Yes,other,45,154,37,0
60,Yes,electronic,22,66,96,1
343,No,electronic,48,56,54,0
8,Yes,electronic,104,227,246,1
217,No,hiphop,18,58,129,1
78,Yes,electronic,79,168,149,1
177,Yes,hiphop,30,81,79,1
375,No,other,10,33,31,0
113,Yes,electronic,61,128,143,1
214,Yes,other,28,95,103,1
142,Yes,rock,39,86,79,0
75,Yes,electronic,34,92,118,1
203,Yes,other,12,36,114,1
338,No,hiphop,94,130,127,0
333,No,rock,28,101,50,0
51,Yes,electronic,83,223,16,0
168,Yes,rock,104,222,201,0
171,Yes,rock,54,183,137,1
369,No,other,6,46,29,1
122,Yes,electronic,124,288,287,1
53,Yes,electronic,10,34,91,1
195,Yes,other,0,17,39,1
404,No,electronic,43,83,28,0
50,Yes,rock,25,45,20,0
131,Yes,electronic,52,211,187,1
249,No,electronic,11,33,8,0
402,No,other,12,26,23,0
55,Yes,electronic,23,59,78,1
182,Yes,hiphop,219,219,169,0
95,Yes,electronic,54,143,124,1
133,Yes,rock,11,20,39,0
157,Yes,rock,79,208,236,1
260,No,other,7,37,27,0
412,No,rock,49,126,58,0
24,Yes,rock,37,104,121,1
56,Yes,electronic,105,319,287,1
310,No,electronic,29,64,60,1
190,Yes,hiphop,234,310,227,0
385,No,other,11,73,74,1
400,No,rock,27,91,34,0
222,No,rock,110,243,92,0
120,Yes,electronic,59,237,194,1
232,No,electronic,14,78,52,0
206,Yes,other,22,66,96,1
261,No,electronic,5,7,36,1
295,No,other,24,82,34,0
17,Yes,hiphop,37,58,183,1
3,Yes,hiphop,93,244,353,1
353,No,hiphop,73,138,102,0
374,No,other,14,30,25,0
271,No,other,7,8,36,1
301,No,other,10,22,23,0
161,Yes,rock,70,130,131,1
11,Yes,rock,39,108,207,1
223,No,electronic,26,51,83,1
83,Yes,electronic,28,120,158,0
38,Yes,electronic,44,149,71,0
240,No,electronic,45,49,22,0
408,No,electronic,1,6,23,1
424,No,electronic,1,44,27,1
180,Yes,hiphop,69,229,95,0
129,Yes,electronic,79,219,148,1
430,No,electronic,58,119,84,0
331,No,rock,25,3,57,1
176,Yes,rock,67,161,148,1
79,Yes,electronic,64,126,130,1
345,No,hiphop,45,50,54,0
22,Yes,electronic,61,150,129,1
265,No,electronic,17,53,57,1
106,Yes,electronic,85,175,264,1
257,No,other,11,16,36,0
280,No,other,4,61,63,1
275,No,electronic,70,331,98,0
189,Yes,hiphop,65,182,149,1
102,Yes,electronic,40,136,109,1
216,No,rock,74,105,132,1
191,Yes,hiphop,190,320,227,0
349,No,rock,55,117,58,0
341,No,hiphop,79,105,117,0
256,No,rock,53,72,60,0
117,Yes,electronic,66,210,95,0
207,Yes,other,30,100,118,1
264,No,electronic,9,9,36,0
279,No,other,19,115,53,1
399,No,other,11,4,57,1
115,Yes,electronic,64,179,149,1
74,Yes,electronic,94,164,186,1
185,Yes,hiphop,86,244,300,1
392,No,other,9,44,29,0
72,Yes,electronic,25,62,149,1
350,No,electronic,7,40,27,0
27,Yes,rock,59,235,110,0
409,No,other,14,48,35,0
347,No,other,13,29,25,0
313,No,other,15,19,36,0
33,Yes,rock,76,86,85,0
288,No,electronic,7,28,13,0
344,No,other,6,10,36,1
159,Yes,rock,67,163,149,1
64,Yes,electronic,40,169,74,1
293,No,other,9,23,23,0
403,No,rock,40,98,58,0
242,No,electronic,18,36,19,0
386,No,electronic,17,5,57,1
233,No,electronic,43,37,49,0
315,No,rock,29,40,43,0
270,No,rock,38,164,74,1
382,No,other,14,18,36,0
59,Yes,electronic,30,116,172,1
160,Yes,rock,30,117,172,1
241,No,other,17,41,22,0
62,Yes,electronic,32,136,93,1
248,No,other,5,44,9,0
110,Yes,electronic,88,173,264,1
40,Yes,rock,32,144,62,1
132,Yes,rock,2,11,39,0
76,Yes,electronic,45,112,151,1
174,Yes,rock,91,214,125,1
127,Yes,electronic,135,281,287,1
228,No,other,43,39,58,0
367,No,rock,16,53,57,0
221,No,rock,110,243,96,0
220,No,electronic,110,243,105,0
414,No,other,12,35,31,0
186,Yes,hiphop,40,192,101,0
112,Yes,electronic,95,278,287,1
49,Yes,other,12,78,24,0
91,Yes,electronic,74,170,149,1
309,No,other,5,13,23,0
282,No,other,14,88,34,0
268,No,other,7,62,63,1
80,Yes,electronic,107,322,287,1
273,No,electronic,9,18,23,0
93,Yes,electronic,54,191,101,1
69,Yes,electronic,49,120,151,1
12,Yes,rock,37,91,196,1
145,Yes,rock,10,45,71,1
322,No,electronic,30,101,50,0
289,No,other,25,69,60,1
383,No,other,14,67,73,1
425,No,electronic,57,106,58,0
226,No,hiphop,51,112,66,0
153,Yes,rock,82,159,168,1
379,No,rock,39,79,23,0
396,No,electronic,10,74,74,1
126,Yes,electronic,43,262,164,1
108,Yes,electronic,34,184,91,1
346,No,rock,57,137,74,0
68,Yes,electronic,34,68,140,1
213,Yes,other,27,61,149,1
31,Yes,electronic,103,205,89,0
388,No,rock,20,81,34,0
1,Yes,electronic,94,193,424,1
390,No,rock,7,22,23,0
211,Yes,other,31,110,122,1
405,No,other,16,36,35,0
359,No,rock,18,16,36,0
294,No,electronic,22,84,34,0
262,No,other,2,5,23,1
391,No,other,15,65,73,1
73,Yes,electronic,19,126,138,1
423,No,electronic,52,95,63,0
362,No,rock,36,77,23,0
215,No,hiphop,83,100,140,1
90,Yes,electronic,61,209,95,0
194,Yes,other,8,23,39,1
237,No,rock,24,82,40,0
373,No,electronic,46,114,58,0
415,No,rock,29,89,23,0
354,No,other,15,51,57,1
36,Yes,rock,84,126,79,0
328,No,other,9,16,23,0
18,Yes,electronic,97,187,173,1
326,No,other,10,17,36,0
116,Yes,electronic,83,190,243,1
96,Yes,electronic,92,207,261,1
104,Yes,electronic,99,175,264,1
109,Yes,electronic,75,190,243,1
319,No,other,10,49,29,0
71,Yes,electronic,49,223,194,1
431,No,electronic,34,18,69,1
389,No,other,10,32,31,0
428,No,electronic,51,104,58,0
70,Yes,electronic,87,279,287,1
140,Yes,rock,35,87,79,1
111,Yes,electronic,32,160,68,1
5,Yes,hiphop,52,235,313,1
65,Yes,electronic,104,264,286,1
300,No,electronic,29,61,84,1
193,Yes,hiphop,120,116,118,0
123,Yes,electronic,66,119,109,1
325,No,electronic,32,102,58,1
209,Yes,other,23,92,103,1
44,Yes,rock,27,94,37,0
212,Yes,other,21,67,44,0
433,No,electronic,19,14,57,1
285,No,other,9,44,29,1
393,No,electronic,38,121,58,0
419,No,electronic,14,51,57,1
387,No,other,18,48,21,0
34,Yes,hiphop,33,182,82,0
7,Yes,electronic,92,224,269,1
246,No,other,16,45,12,0
304,No,electronic,23,23,69,1
77,Yes,electronic,53,95,148,1
339,No,other,19,53,80,1
148,Yes,rock,56,73,107,1
164,Yes,rock,64,144,124,1
52,Yes,electronic,40,81,3,0
154,Yes,rock,61,167,149,1
202,Yes,other,0,1,39,1
235,No,electronic,22,24,48,1
397,No,other,6,33,27,1
183,Yes,hiphop,112,102,118,0
327,No,rock,42,106,58,0
167,Yes,rock,52,168,91,0
321,No,rock,4,4,36,1
244,No,electronic,25,44,16,0
187,Yes,hiphop,33,215,187,1
312,No,other,4,10,23,1
9,Yes,electronic,37,63,233,1
37,Yes,electronic,16,96,76,1
128,Yes,electronic,63,109,151,1
32,Yes,electronic,34,212,88,1
251,No,rock,16,15,36,0
340,No,other,18,53,80,1
296,No,other,5,18,23,1
105,Yes,electronic,89,153,168,1
85,Yes,electronic,88,295,287,1
219,No,hiphop,86,155,108,0
287,No,other,17,37,35,0
205,Yes,other,9,18,39,1
19,Yes,electronic,56,228,159,1
334,No,electronic,47,84,28,0
103,Yes,electronic,70,240,194,1
420,No,electronic,34,115,58,1
364,No,electronic,20,45,21,0
114,Yes,electronic,69,137,148,1
16,Yes,electronic,50,113,187,1
236,No,rock,37,158,47,0
317,No,other,16,42,33,0
173,Yes,rock,23,115,135,1
146,Yes,rock,71,178,149,1
299,No,electronic,34,64,23,0
184,Yes,hiphop,43,201,110,1
329,No,rock,54,70,41,0
201,Yes,other,2,26,39,1
254,No,electronic,32,79,23,0
94,Yes,electronic,57,160,95,0
267,No,electronic,5,19,23,0
290,No,rock,5,29,13,0
188,Yes,hiphop,103,213,201,1
259,No,rock,43,102,58,0
99,Yes,electronic,62,204,103,0
13,Yes,electronic,74,166,195,1
351,No,other,5,38,27,0
