36,19,0
106,278,1
5,28,0
38,105,0
56,190,1
41,68,0
58,60,0
73,203,1
6,10,0
72,308,1
32,158,1
15,57,0
37,117,0
27,5,0
35,117,0
27,67,0
58,178,1
19,44,0
74,206,1
23,32,0
41,93,0
146,440,1
32,82,0
56,146,1
25,117,1
5,122,1
74,195,1
50,90,0
58,189,1
118,292,1
34,68,0
35,137,1
26,10,0
44,128,0
30,9,0
85,227,1
20,120,1
57,84,0
65,79,1
8,38,0
58,155,1
87,280,1
25,51,0
10,46,0
53,100,0
75,236,1
66,134,1
93,172,1
42,171,1
77,137,1
29,40,0
50,191,1
46,17,0
86,219,1
57,161,1
56,91,0
19,12,0
105,223,1
37,57,0
75,192,1
47,171,1
67,212,1
77,214,1
75,298,1
86,164,1
16,43,0
22,61,0
86,192,1
34,83,0
67,225,1
39,89,0
76,230,1
61,321,1
45,137,1
41,142,1
26,125,1
106,272,1
42,84,0
42,69,0
87,229,1
46,192,1
53,183,1
16,76,0
94,195,1
10,35,0
65,169,1
16,56,0
51,112,0
