227,0,0,14,41,65,1
318,0,1,105,137,127,1
311,0,3,10,46,29,1
406,0,2,37,71,23,0
416,0,3,14,4,57,1
413,0,2,13,34,31,0
380,0,0,18,93,34,0
258,0,2,55,118,58,1
30,1,0,163,393,95,0
57,1,0,20,56,43,0
87,1,0,122,444,266,1
401,0,3,4,66,63,1
178,1,1,83,362,266,1
277,0,3,23,47,43,0
42,1,2,25,40,48,1
35,1,1,8,58,79,1
366,0,2,51,66,41,0
135,1,2,26,65,149,1
149,1,2,36,79,144,1
84,1,0,130,260,276,1
208,1,3,20,116,135,1
63,1,0,28,43,57,1
243,0,2,39,75,19,0
320,0,0,8,58,50,1
361,0,3,12,3,57,1
421,0,0,35,117,58,1
41,1,3,49,104,60,1
134,1,2,18,54,71,1
337,0,3,17,82,34,0
58,1,0,7,76,60,1
263,0,1,18,24,50,1
101,1,0,68,111,109,1
136,1,2,41,100,129,1
292,0,3,20,35,32,0
274,0,0,10,23,23,0
119,1,0,60,224,194,1
143,1,2,32,107,122,1
28,1,0,19,43,104,1
429,0,0,23,63,84,1
370,0,3,16,53,57,1
360,0,0,32,45,52,1
169,1,2,45,151,75,1
4,1,0,117,442,346,1
332,0,3,14,42,33,0
54,1,0,36,118,172,1
395,0,3,21,47,19,0
307,0,0,32,53,46,1
352,0,2,38,91,43,0
342,0,2,25,71,30,0
426,0,0,27,71,30,0
82,1,0,50,145,105,1
247,0,0,29,75,11,0
47,1,2,8,25,35,1
281,0,0,9,30,31,0
39,1,0,41,264,69,0
26,1,2,49,143,118,1
418,0,2,38,106,58,0
144,1,2,39,48,145,1
66,1,0,41,210,187,1
297,0,3,16,89,34,0
234,0,0,23,26,48,1
417,0,2,15,81,34,0
239,0,3,19,46,29,0
141,1,2,22,33,95,1
384,0,0,36,52,48,0
284,0,2,7,25,23,0
150,1,2,14,13,39,0
266,0,2,40,102,58,1
198,1,3,3,56,71,1
199,1,3,9,33,91,1
197,1,3,6,25,39,1
348,0,1,96,158,96,0
411,0,3,19,31,40,1
88,1,0,47,229,194,1
407,0,3,9,59,50,1
15,1,2,82,139,189,1
20,1,0,34,139,146,1
147,1,2,41,88,79,1
163,1,2,46,158,71,1
272,0,0,20,56,84,1
422,0,0,40,106,58,0
10,1,0,93,268,228,1
125,1,0,61,160,124,1
97,1,0,109,267,286,1
286,0,0,6,24,23,0
371,0,0,14,75,34,0
81,1,0,75,180,251,1
283,0,3,18,35,35,0
316,0,0,31,51,46,0
130,1,0,66,157,148,1
306,0,0,30,33,71,1
298,0,3,14,35,31,0
67,1,0,25,164,83,1
86,1,0,81,215,125,1
225,0,0,67,89,79,0
100,1,0,90,103,118,0
377,0,2,29,83,23,0
196,1,3,1,10,39,1
255,0,2,52,135,56,0
181,1,1,69,203,200,1
314,0,1,50,83,51,0
291,0,0,7,20,23,0
303,0,0,27,40,21,0
162,1,2,59,175,149,1
302,0,3,11,28,25,0
14,1,2,21,32,193,1
357,0,3,6,22,23,0
250,0,2,19,47,21,0
324,0,1,89,145,127,0
175,1,2,81,159,168,1
398,0,2,42,87,28,0
48,1,2,16,52,30,0
210,1,3,22,75,87,1
355,0,2,39,113,58,1
23,1,0,59,146,125,1
308,0,3,0,6,23,1
410,0,2,56,88,63,0
124,1,0,89,179,264,1
138,1,2,27,87,103,1
43,1,2,20,32,44,1
200,1,3,2,36,61,1
394,0,2,61,120,84,0
2,1,0,101,302,357,1
276,0,3,11,31,31,0
245,0,0,7,17,12,0
152,1,2,70,117,109,1
376,0,2,59,135,82,0
356,0,0,49,33,43,0
238,0,2,28,60,39,0
365,0,3,6,37,27,1
172,1,2,70,220,95,0
98,1,0,56,227,194,1
224,0,0,48,58,81,0
230,0,0,24,28,54,1
229,0,2,48,98,55,0
151,1,2,52,75,144,1
92,1,0,59,138,124,1
372,0,3,17,78,34,0
278,0,3,5,12,23,1
61,1,0,128,264,286,1
368,0,3,20,14,69,1
252,0,2,12,23,23,0
381,0,3,8,33,31,1
107,1,0,72,197,243,1
137,1,2,45,135,112,1
231,0,2,43,105,54,0
192,1,1,150,356,266,1
158,1,2,20,102,78,1
358,0,1,97,132,127,0
25,1,0,63,152,119,1
269,0,3,9,25,23,0
330,0,3,8,35,27,0
179,1,1,21,44,57,1
139,1,2,52,148,105,1
156,1,2,43,26,95,1
427,0,0,21,78,34,0
165,1,2,81,176,167,1
336,0,0,32,80,23,0
323,0,3,11,34,31,0
204,1,3,6,25,39,1
335,0,3,10,38,32,1
118,1,0,98,254,286,1
363,0,3,9,51,29,1
305,0,3,3,4,36,1
155,1,2,56,198,101,0
21,1,1,64,175,133,1
166,1,2,104,202,229,1
253,0,3,5,33,27,1
170,1,2,73,153,148,1
6,1,1,87,264,277,1
29,1,3,41,160,104,1
121,1,0,65,182,149,1
378,0,3,18,60,84,1
218,0,0,27,23,110,1
